simulation,wait,supply,Q,tat,c,f,T,L,wait_exit,Q_exit,f_exit,L_exit,kinetics,testing,isolation,TE,ascertainment,n_tests_dx,R_no_testing,R_testing,R_post_exit,n_tests_exit,T_isolation
4f28171821fc67eb8d703e7837b6779f49df61f7bfd00faaa5dcb84b25c20ba2,0,2,7,2,1.0,0.05,40,3,1,1,0.05,5,kinetics_sarscov2_founder_naive,test_regular,TTE,0.3144659764713137,0.9251,1.7511,5.926993527578537,4.063155720389396,0.1589182963748272,2.4027,3.0994781844972343
dc228c14a0ad53ea263cdd4129509e6ce7f53409e7d826a989db27637c630f63,0,2,7,2,1.0,0.05,40,3,1,1,0.05,5,kinetics_sarscov2_omicron_experienced,test_regular,TTE,0.28524437229595523,0.911,1.8094,2.5448829316522388,1.8189693972464056,0.05720893300104235,1.7404,2.409190163301125
d70f1c4019fc9036e87b61e28767aca6a0bde4a55cd26bc188548cbef88b53ff,0,2,7,2,1.0,0.05,40,3,1,1,0.05,6,kinetics_sarscov2_founder_naive,test_regular,TTE,0.3142490342396249,0.9261,1.7527,5.876330918429439,4.02969960244054,0.18559853895169504,1.7029,2.3397095269698887
c3d6af4af06729647995a65e224e43c48a8ff332ba98902909e6e97cfb2e88ef,0,2,7,2,1.0,0.05,40,3,1,1,0.05,6,kinetics_sarscov2_omicron_experienced,test_regular,TTE,0.28070185596076436,0.9158,1.7918,2.5582733197584124,1.84016125084732,0.056053658003793166,1.2914,1.9092302194309494
6129a707b5e7e943dabc71c6054f2467334aae3b02da9fdd42aebcc109620c76,0,2,7,2,1.0,0.05,40,3,2,1,0.05,5,kinetics_sarscov2_founder_naive,test_regular,TTE,0.3166492619206238,0.9197,1.7904,5.91164454891027,4.039726665760754,0.09365099788599279,2.0203,3.702868571417427
71710921aebb1355e584e8fbadc8da572728221740ee3c5cfbd98cbb0a7b25e5,0,2,7,2,1.0,0.05,40,3,2,1,0.05,5,kinetics_sarscov2_omicron_experienced,test_regular,TTE,0.306550024769189,0.9125,1.8019,2.593462071642767,1.7984362093427244,0.031143552742816633,1.4663,3.109538109087514
75a698c6eaf7b5a7c5513e298f9e08fbad7ca0e2439d40e8d15fade02adffbf5,0,2,7,2,1.0,0.05,40,3,2,1,0.05,6,kinetics_sarscov2_founder_naive,test_regular,TTE,0.3190146241021482,0.924,1.7712,5.911032698784345,4.02532682432615,0.12017485581233953,1.4559,3.0794164933133272
8865c7320fc528d9638a0ada36d36363c7c7feb24962d37c31b7247da606f491,0,2,7,2,1.0,0.05,40,3,2,1,0.05,6,kinetics_sarscov2_omicron_experienced,test_regular,TTE,0.2898819531688268,0.9142,1.7862,2.474011650991725,1.7568403214398098,0.035793584675058256,1.1358,2.7475301395872047
f665fd1b456d2678ba4b4c66c2f33ce63cdb5289fa1a56dc5fa72b4ac0048cfa,0,2,7,2,1.0,0.05,40,3,3,1,0.05,5,kinetics_sarscov2_founder_naive,test_regular,TTE,0.32771939303692477,0.9213,1.7726,5.9559040255573805,4.004038773315539,0.07079668016477773,1.7252,4.36931072312621
2fbf00dcf3271cb89b95e1dfb1ca63fea0b977686f9946546ea3c3bbb5913138,0,2,7,2,1.0,0.05,40,3,3,1,0.05,5,kinetics_sarscov2_omicron_experienced,test_regular,TTE,0.31018614836026126,0.9183,1.7778,2.519890268870676,1.7382552120791779,0.014427419322139583,1.3011,3.9134796206481597
b6646b69a08ec2a118e54186edfc172e6478c54b56a0a766e56f7399579c6590,0,2,7,2,1.0,0.05,40,3,3,1,0.05,6,kinetics_sarscov2_founder_naive,test_regular,TTE,0.32583730428639124,0.9262,1.7511,5.966610826747162,4.02246643923387,0.0877750371009391,1.2859,3.891028845218078
85f5d6b18e5e7d866e99999330969818f892607e6c53ec6a17ea7cc129884546,0,2,7,2,1.0,0.05,40,3,3,1,0.05,6,kinetics_sarscov2_omicron_experienced,test_regular,TTE,0.29397662609628694,0.9132,1.7955,2.4924583303272576,1.7597338396920659,0.01789415026836688,1.0502,3.6535434982235406
e62a83c43ccba7543d643a4318563de61a57128f6191a4c7b4e263ee8acfb8c6,0,2,7,2,1.0,0.05,40,3,5,1,0.05,6,kinetics_sarscov2_founder_naive,test_regular,fixed,0.2935915114404658,0.9227,1.7679,5.82711763248592,4.11632535942299,0.27204684777899085,0.0,5.0
1f2f5f8d1591c3bc111bde12f3620ffcdeb329331d0f159fbaa4d49a869872ac,0,2,7,2,1.0,0.05,40,3,5,1,0.05,6,kinetics_sarscov2_omicron_experienced,test_regular,fixed,0.27825475958939516,0.919,1.7674,2.4789497060325223,1.789170151546241,0.07186802681586268,0.0,5.0
